tweetId,strategyId,annotationId,startTime,end_time,surveyCode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
1,8,2,2023-01-17 03:27:22,2023-01-17 03:28:07,hPOTRFb1KM2uoSY9,4,2,3,3,0,0,0,0,3
1,8,3,2023-01-17 03:27:27,2023-01-17 03:28:12,crW5ysgpMDp2vcRm,3,3,1,3,0,0,0,0,1
3,8,3,2023-01-17 03:28:03,2023-01-17 03:29:17,PyNDUpFCnUkBKEfF,2,2,1,3,0,0,0,0,1
2,8,2,2023-01-17 03:27:36,2023-01-17 03:30:00,zFFO9TeqEyXffn2I,3,3,3,3,0,0,0,0,3
5,8,2,2023-01-17 03:28:58,2023-01-17 03:30:01,o7t87c8LKniRVLSV,2,3,2,1,0,0,0,0,1
4,8,1,2023-01-17 03:28:03,2023-01-17 03:30:03,wMVCnXOPySkZQfIh,2,3,2,2,0,0,0,0,1
6,8,1,2023-01-17 03:29:15,2023-01-17 03:30:03,AXM2F8oYOacwNTaK,5,5,5,5,0,0,0,0,4
5,8,1,2023-01-17 03:28:53,2023-01-17 03:30:10,8BoSnKkTNaeu94S1,4,2,1,1,0,0,0,0,2
5,8,3,2023-01-17 03:29:00,2023-01-17 03:30:51,XNpVyzPorYA4DykG,3,3,1,2,0,0,0,0,4
6,8,2,2023-01-17 03:30:26,2023-01-17 03:30:58,t7MyCXB1F0y25uTR,2,3,1,2,0,0,0,0,1
2,8,3,2023-01-17 03:27:37,2023-01-17 03:31:36,YK5tQExrERpOwf3s,3,3,2,1,0,0,0,0,2
2,8,1,2023-01-17 03:27:29,2023-01-17 03:32:11,d45eNHSQgF6udSpF,3,2,5,4,0,0,0,0,5
6,8,3,2023-01-17 03:30:54,2023-01-17 03:32:15,jxyWEF3xV3zgCYnN,1,1,1,1,0,0,0,0,1
7,8,2,2023-01-17 03:31:18,2023-01-17 03:32:32,cx57XQefEh0cZMtW,4,5,4,4,0,0,0,0,4
7,8,1,2023-01-17 03:31:04,2023-01-17 03:32:33,2IIrvYbS8YMMqhCL,5,4,5,3,0,0,0,0,3
3,8,2,2023-01-17 03:27:56,2023-01-17 03:32:49,hr1pjxf0002VY0gK,5,4,5,4,0,0,0,0,5
7,8,3,2023-01-17 03:31:25,2023-01-17 03:33:10,1HIe8DlTNltnInFo,2,2,4,3,0,0,0,0,3
4,8,3,2023-01-17 03:28:15,2023-01-17 03:33:53,1PP6vH62BlKqY9jN,2,2,2,2,0,0,0,0,2
8,8,2,2023-01-17 03:33:04,2023-01-17 03:34:08,fSxgQ6FQcTNsFNYw,5,5,4,5,0,0,0,0,1
8,8,1,2023-01-17 03:33:00,2023-01-17 03:34:18,iSfwfLjH8p3OTsgQ,3,1,2,2,0,0,0,0,1
9,8,1,2023-01-17 03:37:46,2023-01-17 03:39:01,olFS9eTuMOpVpgz6,3,1,1,1,0,0,0,0,4
9,8,3,2023-01-17 03:38:55,2023-01-17 03:39:47,vq3UmwpjZRqQh5TF,3,3,3,3,0,0,0,0,4
9,8,2,2023-01-17 03:38:38,2023-01-17 03:41:47,CzdKhNQY7G9EwUDf,1,1,1,2,0,0,0,0,2
10,8,2,2023-01-17 03:41:53,2023-01-17 03:44:31,plTdGZ298tguKzvk,3,4,5,3,0,0,0,0,4
11,8,1,2023-01-17 03:42:03,2023-01-17 03:45:08,XKf21XduWBBAqWUh,5,4,4,4,0,0,0,0,5
11,8,3,2023-01-17 03:43:04,2023-01-17 03:45:20,KZZ73EGOHVUFACVr,4,5,5,5,0,0,0,0,1
12,8,1,2023-01-17 03:44:48,2023-01-17 03:46:34,hvoHUYQEhOL8JgJ4,2,3,3,3,0,0,0,0,1
12,8,3,2023-01-17 03:46:06,2023-01-17 03:46:51,m8UMUAaAdXGhfv3s,4,4,3,4,0,0,0,0,1
10,8,3,2023-01-17 03:42:02,2023-01-17 03:47:33,JcYt5XudBaWqmTds,4,4,4,4,0,0,0,0,3
13,8,1,2023-01-17 03:47:35,2023-01-17 03:48:14,HPSDsRivvUz8t7se,4,4,5,4,0,0,0,0,4
13,8,2,2023-01-17 03:47:42,2023-01-17 03:48:27,AJmvP25Fy6Jiy5KY,5,4,5,4,0,0,0,0,1
12,8,2,2023-01-17 03:45:12,2023-01-17 03:50:30,N125JbY1cXHA6hlf,3,5,4,5,0,0,0,0,5
13,8,3,2023-01-17 03:49:23,2023-01-17 03:50:51,BDF8kfuvD2aGPxpc,1,2,2,2,0,0,0,0,5
14,8,2,2023-01-17 03:51:58,2023-01-17 03:52:35,w0WRd64VxvusNJ3P,3,5,5,4,0,0,0,0,5
14,8,3,2023-01-17 03:53:05,2023-01-17 03:54:00,mfqijDom8AVAcp56,4,5,2,2,0,0,0,0,5
15,8,3,2023-01-17 03:56:08,2023-01-17 03:57:33,ohvlEzC6nRTtDZNH,1,1,1,1,0,0,0,0,4
16,8,1,2023-01-17 03:56:31,2023-01-17 03:57:33,Yqfo6y9PoVj4XMbD,4,4,2,4,0,0,0,0,1
1,8,1,2023-01-17 03:57:59,2023-01-17 03:59:43,zyBxEyxeQtF2d7AV,4,3,4,5,0,0,0,0,1
4,8,2,2023-01-17 04:00:12,2023-01-17 04:01:04,8TS8KnfDxWCqPgwd,2,2,3,3,0,0,0,0,3
16,8,3,2023-01-17 04:00:36,2023-01-17 04:01:49,PvTdRUhqCmiei36V,2,1,2,1,0,0,0,0,1
17,8,1,2023-01-17 04:01:22,2023-01-17 04:01:52,HhmlCT67jAEnzHvR,4,5,5,4,0,0,0,0,5
16,8,2,2023-01-17 04:00:28,2023-01-17 04:03:11,SwFujGqzYXCHXBL5,2,1,2,4,0,0,0,0,1
17,8,3,2023-01-17 04:02:29,2023-01-17 04:05:08,PbYPGx5W03r5aZOh,2,2,3,5,0,0,0,0,1
8,8,3,2023-01-17 04:03:55,2023-01-17 04:06:45,mxFR33EfeswZR1hi,4,5,4,5,0,0,0,0,5
18,8,2,2023-01-17 04:04:53,2023-01-17 04:09:19,uhOk5dZI0f6vS3Un,5,4,4,3,0,0,0,0,4
3,8,1,2023-01-17 03:58:05,2023-01-17 04:12:29,5qvHaVfXvlaGHba9,4,5,4,4,0,0,0,0,4
10,8,1,2023-01-17 04:13:09,2023-01-17 04:14:20,euXgN1zDg73S1n4u,2,1,1,1,0,0,0,0,4
11,8,2,2023-01-17 04:17:06,2023-01-17 04:18:27,1HsMc96xYnsZ9N2B,1,1,1,1,0,0,0,0,4
