tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,8,2,4,2,3,3,3,non-hateful,non-hateful
1,8,3,3,3,1,3,1,non-hateful,non-hateful
1,8,1,4,3,4,5,1,non-hateful,non-hateful
2,8,2,3,3,3,3,3,neither,neither
2,8,3,3,3,2,1,2,neither,neither
2,8,1,3,2,5,4,5,neither,neither
3,8,3,2,2,1,3,1,hateful,hateful
3,8,2,5,4,5,4,5,hateful,hateful
3,8,1,4,5,4,4,4,hateful,hateful
4,8,1,2,3,2,2,1,non-hateful,non-hateful
4,8,3,2,2,2,2,2,non-hateful,non-hateful
4,8,2,2,2,3,3,3,non-hateful,non-hateful
5,8,2,2,3,2,1,1,non-hateful,non-hateful
5,8,1,4,2,1,1,2,non-hateful,non-hateful
5,8,3,3,3,1,2,4,non-hateful,non-hateful
6,8,1,5,5,5,5,4,non-hateful,non-hateful
6,8,2,2,3,1,2,1,non-hateful,non-hateful
6,8,3,1,1,1,1,1,non-hateful,non-hateful
7,8,2,4,5,4,4,4,neither,neither
7,8,1,5,4,5,3,3,neither,neither
7,8,3,2,2,4,3,3,neither,neither
8,8,2,5,5,4,5,1,non-hateful,non-hateful
8,8,1,3,1,2,2,1,non-hateful,non-hateful
8,8,3,4,5,4,5,5,non-hateful,non-hateful
9,8,1,3,1,1,1,4,hateful,hateful
9,8,3,3,3,3,3,4,hateful,hateful
9,8,2,1,1,1,2,2,hateful,hateful
10,8,2,3,4,5,3,4,hateful,hateful
10,8,3,4,4,4,4,3,hateful,hateful
10,8,1,2,1,1,1,4,hateful,hateful
11,8,1,5,4,4,4,5,hateful,hateful
11,8,3,4,5,5,5,1,hateful,hateful
11,8,2,1,1,1,1,4,hateful,hateful
12,8,1,2,3,3,3,1,non-hateful,non-hateful
12,8,3,4,4,3,4,1,non-hateful,non-hateful
12,8,2,3,5,4,5,5,non-hateful,non-hateful
13,8,1,4,4,5,4,4,hateful,hateful
13,8,2,5,4,5,4,1,hateful,hateful
13,8,3,1,2,2,2,5,hateful,hateful
14,8,2,3,5,5,4,5,hateful,hateful
14,8,3,4,5,2,2,5,hateful,hateful
14,8,1,4,1,1,2,2,hateful,hateful
15,8,3,1,1,1,1,4,neither,neither
15,8,2,3,3,4,4,3,neither,neither
15,8,1,1,2,1,2,1,neither,neither
16,8,1,4,4,2,4,1,non-hateful,consistent non-hateful
16,8,3,2,1,2,1,1,non-hateful,consistent non-hateful
16,8,2,2,1,2,4,1,non-hateful,consistent non-hateful
17,8,1,4,5,5,4,5,non-hateful,non-hateful
17,8,3,2,2,3,5,1,non-hateful,non-hateful
17,8,2,3,5,2,4,1,non-hateful,non-hateful
18,8,2,5,4,4,3,4,hateful,consistent hateful
18,8,1,3,4,4,4,4,hateful,consistent hateful
18,8,3,1,1,1,1,5,hateful,consistent hateful
19,8,1,2,1,1,2,1,non-hateful,non-hateful
19,8,2,2,5,4,4,4,non-hateful,non-hateful
19,8,3,4,4,5,5,1,non-hateful,non-hateful
20,8,2,3,2,2,3,2,non-hateful,non-hateful
20,8,1,4,3,4,3,1,non-hateful,non-hateful
20,8,3,4,4,3,4,4,non-hateful,non-hateful
21,8,1,3,3,2,3,1,non-hateful,non-hateful
21,8,2,4,4,4,4,3,non-hateful,non-hateful
21,8,3,5,4,5,4,2,non-hateful,non-hateful
22,8,1,4,3,2,3,4,neither,neither
22,8,2,2,2,1,2,1,neither,neither
22,8,3,3,3,2,1,3,neither,neither
23,8,1,1,1,1,2,2,non-hateful,consistent non-hateful
23,8,2,3,1,1,2,1,non-hateful,consistent non-hateful
23,8,3,2,2,1,3,2,non-hateful,consistent non-hateful
24,8,1,4,3,3,3,3,non-hateful,non-hateful
24,8,2,4,2,4,5,1,non-hateful,non-hateful
24,8,3,5,3,1,5,1,non-hateful,non-hateful
25,8,1,4,3,3,4,5,hateful,hateful
25,8,2,3,4,3,4,5,hateful,hateful
25,8,3,2,3,2,4,1,hateful,hateful
26,8,1,1,1,1,1,4,hateful,hateful
26,8,2,2,1,1,1,4,hateful,hateful
26,8,3,3,4,2,4,2,hateful,hateful
27,8,1,2,1,1,1,2,non-hateful,non-hateful
27,8,2,2,3,1,2,4,non-hateful,non-hateful
27,8,3,3,4,3,4,2,non-hateful,non-hateful
28,8,1,3,4,3,4,2,non-hateful,non-hateful
28,8,2,3,3,3,4,3,non-hateful,non-hateful
28,8,3,2,2,3,2,2,non-hateful,non-hateful
29,8,1,3,2,3,3,3,neither,consistent neither
29,8,2,2,2,3,2,3,neither,consistent neither
29,8,3,4,3,4,3,3,neither,consistent neither
30,8,1,5,5,4,3,3,neither,consistent neither
30,8,3,5,5,4,3,3,neither,consistent neither
30,8,2,3,4,3,4,3,neither,consistent neither
31,8,1,3,3,3,4,3,neither,neither
31,8,2,3,4,3,4,2,neither,neither
31,8,3,3,3,3,4,3,neither,neither
32,8,1,5,5,3,3,3,neither,neither
32,8,3,3,3,4,3,3,neither,neither
32,8,2,4,4,2,4,2,neither,neither
33,8,1,2,3,2,1,4,non-hateful,non-hateful
33,8,2,4,4,4,4,1,non-hateful,non-hateful
33,8,3,4,3,3,4,2,non-hateful,non-hateful
34,8,1,3,4,1,2,1,neither,neither
34,8,2,1,1,1,1,3,neither,neither
34,8,3,4,5,4,5,3,neither,neither
35,8,1,2,3,2,2,1,non-hateful,consistent non-hateful
35,8,2,4,2,5,4,1,non-hateful,consistent non-hateful
35,8,3,1,1,4,3,1,non-hateful,consistent non-hateful
36,8,1,1,1,1,1,3,neither,neither
36,8,2,4,5,4,5,3,neither,neither
36,8,3,4,5,4,5,4,neither,neither
37,8,1,4,5,4,4,3,neither,consistent neither
37,8,3,5,4,4,4,3,neither,consistent neither
37,8,2,4,4,4,5,3,neither,consistent neither
38,8,1,3,4,3,4,3,neither,neither
38,8,2,4,3,3,5,4,neither,neither
38,8,3,3,4,3,4,3,neither,neither
39,8,1,4,5,3,4,3,neither,neither
39,8,2,4,4,4,5,4,neither,neither
39,8,3,5,3,4,2,3,neither,neither
40,8,1,3,3,4,4,3,neither,neither
40,8,2,4,4,3,4,3,neither,neither
40,8,3,5,1,2,5,4,neither,neither
41,8,1,4,5,4,3,3,neither,consistent neither
41,8,3,5,4,4,3,3,neither,consistent neither
41,8,2,1,2,1,1,3,neither,consistent neither
42,8,1,4,3,3,3,4,hateful,consistent hateful
42,8,2,4,3,1,4,5,hateful,consistent hateful
42,8,3,5,5,5,4,5,hateful,consistent hateful
43,8,2,1,1,3,5,1,non-hateful,non-hateful
43,8,3,1,2,2,3,4,non-hateful,non-hateful
43,8,1,3,3,1,4,1,non-hateful,non-hateful
44,8,1,1,1,2,1,1,non-hateful,non-hateful
44,8,2,3,2,2,2,1,non-hateful,non-hateful
44,8,3,3,1,1,2,4,non-hateful,non-hateful
45,8,1,3,2,5,4,5,hateful,consistent hateful
45,8,2,5,4,4,5,5,hateful,consistent hateful
45,8,3,2,3,4,5,4,hateful,consistent hateful
46,8,2,2,1,2,3,2,non-hateful,non-hateful
46,8,3,5,4,4,5,5,non-hateful,non-hateful
46,8,1,2,2,1,2,1,non-hateful,non-hateful
47,8,1,4,5,1,2,1,non-hateful,non-hateful
47,8,3,2,1,1,2,1,non-hateful,non-hateful
47,8,2,3,1,1,1,3,non-hateful,non-hateful
48,8,1,4,4,2,2,4,hateful,consistent hateful
48,8,2,4,1,1,5,4,hateful,consistent hateful
48,8,3,5,1,1,1,5,hateful,consistent hateful
49,8,1,1,1,1,1,5,neither,neither
49,8,2,1,1,1,3,2,neither,neither
49,8,3,1,1,1,1,3,neither,neither
50,8,1,1,3,3,2,4,hateful,consistent hateful
50,8,3,1,1,1,1,4,hateful,consistent hateful
50,8,2,1,1,1,2,5,hateful,consistent hateful
51,8,1,3,3,1,3,3,neither,neither
51,8,2,2,2,3,2,3,neither,neither
51,8,3,2,2,1,1,2,neither,neither
52,8,1,4,1,1,3,5,hateful,consistent hateful
52,8,2,2,1,1,2,5,hateful,consistent hateful
52,8,3,1,1,1,1,5,hateful,consistent hateful
53,8,2,2,2,1,2,2,neither,neither
53,8,3,1,1,1,1,4,neither,neither
53,8,1,4,4,2,4,3,neither,neither
54,8,1,5,4,1,1,5,hateful,consistent hateful
54,8,2,2,2,1,2,5,hateful,consistent hateful
54,8,3,3,2,4,3,5,hateful,consistent hateful
55,8,1,1,1,1,1,5,hateful,consistent hateful
55,8,2,2,1,1,1,4,hateful,consistent hateful
55,8,3,1,2,1,2,5,hateful,consistent hateful
56,8,2,1,1,1,1,5,hateful,consistent hateful
56,8,1,4,5,3,3,5,hateful,consistent hateful
56,8,3,3,1,1,5,5,hateful,consistent hateful
57,8,1,5,5,4,4,5,hateful,hateful
57,8,3,1,1,1,1,3,hateful,hateful
57,8,2,1,2,1,1,5,hateful,hateful
58,8,1,3,4,3,3,4,hateful,consistent hateful
58,8,2,4,4,3,4,4,hateful,consistent hateful
58,8,3,2,1,2,3,4,hateful,consistent hateful
59,8,1,1,1,1,1,1,hateful,hateful
59,8,2,4,4,2,3,4,hateful,hateful
59,8,3,2,2,1,2,5,hateful,hateful
