tweetId,strategyId,annotationId,startTime,end_time,surveyCode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
2,7,2,2023-01-14 17:47:07,2023-01-14 17:48:15,1x9qjLBLmQkIdUer,3,3,2,3,2,3,3,4,2
2,7,3,2023-01-14 17:47:09,2023-01-14 17:48:36,ITgBBPeugyfkXqzI,3,4,3,3,3,4,4,4,1
1,7,2,2023-01-14 17:46:55,2023-01-14 17:49:01,RmtqYo16aV6DyKPp,5,5,3,3,5,5,4,4,3
5,7,1,2023-01-14 17:47:39,2023-01-14 17:49:10,5a6Qwte3zl4juHJP,2,3,2,3,3,2,4,2,3
5,7,2,2023-01-14 17:47:46,2023-01-14 17:49:11,41iskszzPkodgyHY,4,5,5,5,3,2,4,3,5
4,7,2,2023-01-14 17:47:26,2023-01-14 17:49:14,8oxG4H2XqzcTJ5Uz,5,4,4,4,5,3,5,5,2
1,7,3,2023-01-14 17:46:55,2023-01-14 17:49:46,ficc6D1Ekq1HO5Cb,2,4,4,5,4,5,4,5,2
8,7,2,2023-01-14 17:49:09,2023-01-14 17:49:47,MlWosEPgzrQfFKk2,5,5,5,5,4,4,4,4,4
5,7,3,2023-01-14 17:47:46,2023-01-14 17:49:56,juXBMXp6gmfkNGgA,5,5,3,4,4,4,5,5,5
3,7,1,2023-01-14 17:47:12,2023-01-14 17:49:56,NKxkHAML8PzagkaI,5,5,4,4,5,3,2,2,4
7,7,1,2023-01-14 17:48:34,2023-01-14 17:50:09,kDJhjsdyAUpgqhsm,4,4,5,4,3,3,4,5,2
9,7,1,2023-01-14 17:49:33,2023-01-14 17:50:26,wvlAwxQqiDae3fiA,5,5,4,4,4,3,1,2,3
3,7,2,2023-01-14 17:47:14,2023-01-14 17:50:36,7GYyaZacigtOTTAh,3,2,2,3,3,3,4,3,3
9,7,2,2023-01-14 17:49:43,2023-01-14 17:50:38,kSHT03HFOjRy12ur,4,3,5,4,3,4,3,3,4
4,7,3,2023-01-14 17:47:29,2023-01-14 17:51:45,8SnnRzgfhUTohFuK,4,5,5,5,5,4,5,5,4
6,7,1,2023-01-14 17:48:02,2023-01-14 17:51:51,qg0LK8xN1zzgTn1t,1,2,4,5,1,3,4,4,5
10,7,1,2023-01-14 17:50:02,2023-01-14 17:52:05,2bniex3EKlpkmP3s,2,2,2,2,2,2,2,3,5
8,7,3,2023-01-14 17:49:14,2023-01-14 17:52:18,5ritJV7arproE9ki,5,5,4,5,4,3,2,3,4
10,7,3,2023-01-14 17:50:07,2023-01-14 17:52:37,0Luz9fqyFI7S3vzY,5,5,4,5,5,5,5,5,2
12,7,2,2023-01-14 17:51:21,2023-01-14 17:52:58,cvF6Kzxnt4H2L9jf,3,3,3,5,4,3,4,5,1
12,7,3,2023-01-14 17:51:31,2023-01-14 17:53:17,Ga7UyXqGff5phGTs,5,5,5,5,5,5,5,5,1
13,7,1,2023-01-14 17:52:10,2023-01-14 17:54:07,ZTRvFTqAooEtyXxf,4,4,1,4,5,5,4,5,4
12,7,1,2023-01-14 17:51:16,2023-01-14 17:54:07,5BnfU3wLkHgu4Zgd,3,2,1,1,4,5,5,4,1
11,7,3,2023-01-14 17:50:50,2023-01-14 17:54:13,1q9bNLcHPiCUhfku,2,3,1,3,4,1,3,5,1
11,7,1,2023-01-14 17:50:35,2023-01-14 17:54:26,zxetMzR8MmE1VcMO,4,4,3,3,3,2,4,4,3
13,7,2,2023-01-14 17:52:20,2023-01-14 17:54:35,SxQtRVjCyEMQmjBa,5,5,5,5,5,2,1,1,5
