tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,7,2,5.0,5.0,3.5,3.5,3,neither,neither
1,7,3,3.0,4.5,4.0,5.0,2,neither,neither
1,7,1,1.0,1.0,2.0,1.0,4,neither,neither
2,7,2,2.5,3.0,2.5,3.5,2,non-hateful,non-hateful
2,7,3,3.0,4.0,3.5,3.5,1,non-hateful,non-hateful
2,7,1,3.0,3.5,3.5,3.0,5,non-hateful,non-hateful
3,7,1,5.0,4.0,3.0,3.0,4,hateful,hateful
3,7,2,3.0,2.5,3.0,3.0,3,hateful,hateful
3,7,3,2.0,3.0,3.5,3.0,4,hateful,hateful
4,7,2,5.0,3.5,4.5,4.5,2,non-hateful,non-hateful
4,7,3,4.5,4.5,5.0,5.0,4,non-hateful,non-hateful
4,7,1,4.5,4.0,3.5,3.5,1,non-hateful,non-hateful
5,7,1,2.5,2.5,3.0,2.5,3,hateful,hateful
5,7,2,3.5,3.5,4.5,4.0,5,hateful,hateful
5,7,3,4.5,4.5,4.0,4.5,5,hateful,hateful
6,7,1,1.0,2.5,4.0,4.5,5,neither,neither
6,7,2,2.5,4.5,2.5,2.5,3,neither,neither
6,7,3,2.0,2.0,2.0,2.5,2,neither,neither
7,7,1,3.5,3.5,4.5,4.5,2,non-hateful,non-hateful
7,7,2,4.5,4.0,1.0,4.0,5,non-hateful,non-hateful
7,7,3,4.0,3.5,1.5,1.5,2,non-hateful,non-hateful
8,7,2,4.5,4.5,4.5,4.5,4,hateful,hateful
8,7,3,4.5,4.0,3.0,4.0,4,hateful,hateful
8,7,1,5.0,2.5,2.0,3.0,3,hateful,hateful
9,7,1,4.5,4.0,2.5,3.0,3,neither,neither
9,7,2,3.5,3.5,4.0,3.5,4,neither,neither
9,7,3,3.5,3.5,3.5,3.5,3,neither,neither
10,7,1,2.0,2.0,2.0,2.5,5,hateful,hateful
10,7,3,5.0,5.0,4.5,5.0,2,hateful,hateful
10,7,2,4.5,3.5,4.0,3.5,4,hateful,hateful
11,7,3,3.0,2.0,2.0,4.0,1,neither,neither
11,7,1,3.5,3.0,3.5,3.5,3,neither,neither
11,7,2,3.0,2.5,1.5,2.5,4,neither,neither
12,7,2,3.5,3.0,3.5,5.0,1,non-hateful,consistent non-hateful
12,7,3,5.0,5.0,5.0,5.0,1,non-hateful,consistent non-hateful
12,7,1,3.5,3.5,3.0,2.5,1,non-hateful,consistent non-hateful
13,7,1,4.5,4.5,2.5,4.5,4,hateful,hateful
13,7,2,5.0,3.5,3.0,3.0,5,hateful,hateful
