tweetId,strategyId,annotationId,startTime,end_time,surveyCode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
3,6,3,2023-01-14 17:47:12,2023-01-14 17:48:24,dE4hJYdiYDhaC47Q,5,1,1,1,5,5,5,5,1
2,6,3,2023-01-14 17:47:04,2023-01-14 17:48:25,ctcxI28LR7mXYu9p,5,5,5,5,2,1,1,1,5
3,6,1,2023-01-14 17:47:09,2023-01-14 17:48:25,BF8XVGwq8g0kjYSZ,5,5,5,4,5,5,4,5,4
1,6,2,2023-01-14 17:46:46,2023-01-14 17:48:35,P86BAsEKFrBWUVMS,5,5,4,4,4,2,1,2,4
1,6,1,2023-01-14 17:46:42,2023-01-14 17:48:46,nKjISUQ2WzEmcVm5,4,5,5,5,4,5,5,5,3
6,6,3,2023-01-14 17:48:00,2023-01-14 17:48:47,IVvWMjBPTgutSmXZ,4,1,1,1,5,4,5,5,1
6,6,2,2023-01-14 17:47:52,2023-01-14 17:49:09,kpLsMwO6VQ2QLlyf,4,1,1,1,4,4,4,5,1
5,6,3,2023-01-14 17:47:38,2023-01-14 17:49:20,ywrKrmAXpqYKbGxE,3,3,3,4,2,2,2,2,4
5,6,2,2023-01-14 17:47:33,2023-01-14 17:49:23,5NeQWdAtZx1r5hyp,4,4,3,3,5,4,5,5,2
1,6,3,2023-01-14 17:46:47,2023-01-14 17:49:28,GmtAWoBVdfNfMdkm,5,5,5,1,5,5,1,1,5
7,6,2,2023-01-14 17:48:12,2023-01-14 17:49:49,BA8bd97sxDbZmvld,5,2,1,2,4,2,5,5,1
4,6,1,2023-01-14 17:47:19,2023-01-14 17:50:12,fHi2txKGvbcGXqde,3,3,2,2,4,3,3,3,4
5,6,1,2023-01-14 17:47:33,2023-01-14 17:50:23,c2YiBDNXezd41RAZ,4,4,4,5,1,3,2,1,5
7,6,3,2023-01-14 17:48:27,2023-01-14 17:50:24,yBfIqDNyjG1Iu1rK,3,3,1,1,5,5,5,5,1
4,6,3,2023-01-14 17:47:25,2023-01-14 17:50:27,Tvx6IkwKg5v2LiHh,5,4,4,4,2,3,1,1,2
2,6,1,2023-01-14 17:47:00,2023-01-14 17:50:43,enMZswptCP12qvmI,5,2,3,2,5,2,4,4,1
10,6,2,2023-01-14 17:49:52,2023-01-14 17:50:50,E7xYR2bPr7VMLCJF,2,3,2,2,3,4,3,3,3
11,6,3,2023-01-14 17:50:25,2023-01-14 17:50:54,c4vySBCmUgada4Ae,5,4,5,5,4,5,4,4,4
9,6,2,2023-01-14 17:49:24,2023-01-14 17:51:17,INkqNI3BlEh1uU1R,5,4,5,5,5,2,1,1,5
2,6,2,2023-01-14 17:47:02,2023-01-14 17:51:33,bEar7pegFyIbQXrH,5,5,3,5,5,4,2,5,5
9,6,1,2023-01-14 17:49:23,2023-01-14 17:51:43,b4BdHcNwb8RHgTyQ,5,5,5,5,5,4,3,4,4
11,6,1,2023-01-14 17:50:17,2023-01-14 17:51:47,qkjlFjI6LNy2DL7Q,5,5,5,5,5,5,5,5,1
12,6,1,2023-01-14 17:50:55,2023-01-14 17:51:58,QzyxNIrPk1UvL2uE,5,5,5,5,5,5,5,5,5
12,6,2,2023-01-14 17:51:10,2023-01-14 17:52:07,qGAmgMrfPs0vjxhd,3,3,3,3,3,3,3,2,3
9,6,3,2023-01-14 17:49:27,2023-01-14 17:52:17,D9bRM5LQXmPYYTLl,4,5,5,5,5,4,3,4,3
8,6,3,2023-01-14 17:48:54,2023-01-14 17:52:38,mFBE7wZD4pTfJbMN,5,4,4,4,5,4,2,2,4
3,6,2,2023-01-14 17:47:11,2023-01-14 17:52:50,kHvNgyYh6leiwJAp,5,3,3,4,5,4,4,4,4
10,6,1,2023-01-14 17:49:47,2023-01-14 17:52:57,wqDu0y0n5HMBJEEq,4,4,5,4,1,1,1,1,5
13,6,1,2023-01-14 17:51:34,2023-01-14 17:53:29,BnxHlzqY6GXzEcqo,1,1,1,2,1,1,1,1,3
14,6,2,2023-01-14 17:52:32,2023-01-14 17:53:39,szWqr8wOtKAunp0D,5,5,5,5,5,4,2,1,4
15,6,1,2023-01-14 17:53:03,2023-01-14 17:54:11,KUZCVprftRH3Fa17,4,4,4,4,3,4,3,4,4
15,6,3,2023-01-14 17:53:10,2023-01-14 17:54:40,Eaoz7o4VqZaKSzP7,4,4,5,5,4,1,1,1,5
8,6,2,2023-01-14 17:48:51,2023-01-14 17:55:20,prEtdy6kgo6R7XXz,3,3,3,3,3,4,4,2,4
12,6,3,2023-01-14 17:51:15,2023-01-14 17:55:20,sklqfVDJcOH2ZUT8,4,5,5,5,4,5,5,5,1
14,6,1,2023-01-14 17:52:24,2023-01-14 17:55:30,SZZ9FPQ6BXfRh2qF,5,1,3,3,5,4,4,4,2
16,6,3,2023-01-14 17:53:41,2023-01-14 17:55:35,FEygsht5QLpoJGlM,4,1,1,1,5,1,3,4,2
