tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,6,2,4.5,3.5,2.5,3.0,4,hateful,hateful
1,6,1,4.0,5.0,5.0,5.0,3,hateful,hateful
1,6,3,5.0,5.0,3.0,1.0,5,hateful,hateful
2,6,3,3.5,3.0,3.0,3.0,5,hateful,hateful
2,6,1,5.0,2.0,3.5,3.0,1,hateful,hateful
2,6,2,5.0,4.5,2.5,5.0,5,hateful,hateful
3,6,3,5.0,3.0,3.0,3.0,1,hateful,hateful
3,6,1,5.0,5.0,4.5,4.5,4,hateful,hateful
3,6,2,5.0,3.5,3.5,4.0,4,hateful,hateful
4,6,1,3.5,3.0,2.5,2.5,4,non-hateful,non-hateful
4,6,3,3.5,3.5,2.5,2.5,2,non-hateful,non-hateful
4,6,2,5.0,2.0,4.5,3.0,1,non-hateful,non-hateful
5,6,3,2.5,2.5,2.5,3.0,4,hateful,hateful
5,6,2,4.5,4.0,4.0,4.0,2,hateful,hateful
5,6,1,2.5,3.5,3.0,3.0,5,hateful,hateful
6,6,3,4.5,2.5,3.0,3.0,1,non-hateful,non-hateful
6,6,2,4.0,2.5,2.5,3.0,1,non-hateful,non-hateful
6,6,1,3.5,4.0,4.5,4.0,3,non-hateful,non-hateful
7,6,2,4.5,2.0,3.0,3.5,1,non-hateful,non-hateful
7,6,3,4.0,4.0,3.0,3.0,1,non-hateful,non-hateful
7,6,1,3.5,4.5,4.5,4.0,4,non-hateful,non-hateful
8,6,3,5.0,4.0,3.0,3.0,4,hateful,hateful
8,6,2,3.0,3.5,3.5,2.5,4,hateful,hateful
8,6,1,5.0,3.5,3.0,3.0,2,hateful,hateful
9,6,2,5.0,3.0,3.0,3.0,5,hateful,hateful
9,6,1,5.0,4.5,4.0,4.5,4,hateful,hateful
9,6,3,4.5,4.5,4.0,4.5,3,hateful,hateful
10,6,2,2.5,3.5,2.5,2.5,3,hateful,hateful
10,6,1,2.5,2.5,3.0,2.5,5,hateful,hateful
10,6,3,4.0,1.5,1.5,2.0,4,hateful,hateful
11,6,3,4.5,4.5,4.5,4.5,4,non-hateful,non-hateful
11,6,1,5.0,5.0,5.0,5.0,1,non-hateful,non-hateful
11,6,2,4.0,4.0,4.0,4.0,1,non-hateful,non-hateful
12,6,1,5.0,5.0,5.0,5.0,5,neither,neither
12,6,2,3.0,3.0,3.0,2.5,3,neither,neither
12,6,3,4.0,5.0,5.0,5.0,1,neither,neither
13,6,1,1.0,1.0,1.0,1.5,3,neither,neither
13,6,2,3.5,3.5,3.0,1.0,3,neither,neither
13,6,3,5.0,4.0,4.0,1.0,5,neither,neither
14,6,2,5.0,4.5,3.5,3.0,4,hateful,hateful
14,6,1,5.0,2.5,3.5,3.5,2,hateful,hateful
14,6,3,4.0,3.0,3.0,3.5,5,hateful,hateful
15,6,1,3.5,4.0,3.5,4.0,4,hateful,consistent hateful
15,6,3,4.0,2.5,3.0,3.0,5,hateful,consistent hateful
15,6,2,3.0,3.0,3.0,3.5,4,hateful,consistent hateful
16,6,3,4.5,1.0,2.0,2.5,2,non-hateful,consistent non-hateful
16,6,2,4.5,4.0,3.0,3.0,1,non-hateful,consistent non-hateful
16,6,1,3.5,1.0,2.0,2.0,1,non-hateful,consistent non-hateful
17,6,3,2.5,3.5,3.0,3.0,1,non-hateful,consistent non-hateful
17,6,1,5.0,1.0,3.0,3.0,1,non-hateful,consistent non-hateful
17,6,2,5.0,2.5,3.0,2.5,1,non-hateful,consistent non-hateful
18,6,3,4.5,4.5,3.0,3.0,4,hateful,hateful
18,6,2,5.0,3.0,3.0,3.0,3,hateful,hateful
18,6,1,2.5,3.5,2.5,3.5,4,hateful,hateful
19,6,1,3.0,3.0,3.0,3.0,3,neither,neither
19,6,3,3.0,3.0,2.5,3.0,3,neither,neither
19,6,2,5.0,4.5,3.0,3.0,1,neither,neither
20,6,2,5.0,4.0,4.0,4.5,1,non-hateful,consistent non-hateful
20,6,1,4.0,3.0,3.0,3.0,1,non-hateful,consistent non-hateful
20,6,3,4.0,3.5,3.0,4.0,1,non-hateful,consistent non-hateful
21,6,2,5.0,5.0,3.5,3.5,1,non-hateful,non-hateful
21,6,1,5.0,2.5,2.0,2.5,1,non-hateful,non-hateful
21,6,3,3.5,3.0,3.5,1.0,3,non-hateful,non-hateful
22,6,3,3.5,3.5,3.5,4.0,2,non-hateful,non-hateful
22,6,2,1.5,1.0,1.5,2.0,1,non-hateful,non-hateful
22,6,1,3.5,4.0,4.0,2.0,4,non-hateful,non-hateful
23,6,1,4.5,4.5,3.0,2.5,2,non-hateful,non-hateful
23,6,3,4.0,3.5,3.5,3.5,1,non-hateful,non-hateful
23,6,2,5.0,3.0,4.0,5.0,4,non-hateful,non-hateful
24,6,1,4.0,2.0,1.5,1.5,1,non-hateful,non-hateful
24,6,2,5.0,5.0,2.0,2.0,1,non-hateful,non-hateful
24,6,3,2.0,2.0,2.0,2.5,4,non-hateful,non-hateful
25,6,2,5.0,3.5,4.5,3.0,1,non-hateful,non-hateful
25,6,1,4.5,4.5,5.0,1.0,5,non-hateful,non-hateful
25,6,3,3.5,3.0,3.0,3.0,1,non-hateful,non-hateful
26,6,2,5.0,4.0,3.5,3.5,4,neither,neither
26,6,3,5.0,3.0,2.0,3.0,2,neither,neither
