tweetId,strategyId,annotationId,startTime,end_time,surveyCode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
1,4,1,2023-01-13 02:17:11,2023-01-13 02:18:44,eiFtDwnUxrFwd6Xz,4,4,3,5,0,0,0,0,5
1,4,2,2023-01-13 02:17:20,2023-01-13 02:19:00,7EW19WhFhR16LXPu,5,5,4,5,0,0,0,0,4
4,4,2,2023-01-13 02:18:28,2023-01-13 02:19:12,faKZzRkXg8c7LNJ5,5,5,3,2,0,0,0,0,1
3,4,1,2023-01-13 02:18:14,2023-01-13 02:19:20,0kdhZ0WIwSjm1jzq,5,2,1,1,0,0,0,0,1
5,4,3,2023-01-13 02:18:41,2023-01-13 02:19:21,WRvhMZDbo1Jj8igQ,5,4,5,5,0,0,0,0,1
6,4,1,2023-01-13 02:18:45,2023-01-13 02:19:26,sQ6nT9q8sBp3GxIX,3,4,4,5,0,0,0,0,1
4,4,1,2023-01-13 02:18:23,2023-01-13 02:19:36,Wt4LUJ1FFdneZQoW,2,1,1,2,0,0,0,0,2
2,4,1,2023-01-13 02:17:30,2023-01-13 02:19:36,mokw0C7Sker49B7b,4,4,4,4,0,0,0,0,1
7,4,1,2023-01-13 02:19:02,2023-01-13 02:19:39,XJt0ctg3gCo3otvd,5,5,5,5,0,0,0,0,4
2,4,2,2023-01-13 02:17:34,2023-01-13 02:19:43,CYj1A9qMhOHivtLI,1,2,2,2,0,0,0,0,1
5,4,1,2023-01-13 02:18:38,2023-01-13 02:19:57,ZQ9Nt16iMyA1Pdo8,3,4,2,1,0,0,0,0,2
2,4,3,2023-01-13 02:17:36,2023-01-13 02:20:13,8rbDpDeX9wdy357c,1,2,1,1,0,0,0,0,5
6,4,2,2023-01-13 02:18:47,2023-01-13 02:20:18,xyGcmGECZmg5gjbV,2,2,1,1,0,0,0,0,4
7,4,2,2023-01-13 02:19:13,2023-01-13 02:20:40,HffkgXguatojjm4m,2,2,1,2,0,0,0,0,4
9,4,1,2023-01-13 02:20:07,2023-01-13 02:20:53,AbPDkJIadblqEGQs,3,3,4,3,0,0,0,0,2
9,4,3,2023-01-13 02:20:12,2023-01-13 02:21:05,fbRAWoZZi87ixXIR,4,4,4,5,0,0,0,0,4
10,4,2,2023-01-13 02:20:50,2023-01-13 02:21:15,mA6DIXbJa57IEpK3,4,4,4,5,0,0,0,0,4
10,4,1,2023-01-13 02:20:49,2023-01-13 02:21:22,bOBdwzOHx9sgOq8L,4,4,4,5,0,0,0,0,4
8,4,1,2023-01-13 02:19:38,2023-01-13 02:21:36,8PmAfQ135WgQEvdG,1,1,1,1,0,0,0,0,3
10,4,3,2023-01-13 02:20:51,2023-01-13 02:21:38,4gxJSXHUpOhgF225,4,3,3,4,0,0,0,0,3
7,4,3,2023-01-13 02:19:19,2023-01-13 02:21:51,3G57pzIoplbjKv1g,2,1,1,2,0,0,0,0,4
11,4,3,2023-01-13 02:21:29,2023-01-13 02:21:59,mUSClqBiA0AWCdEE,3,4,4,5,0,0,0,0,1
4,4,3,2023-01-13 02:18:32,2023-01-13 02:22:42,OHQGNt2zXubLX5cH,2,2,3,3,0,0,0,0,3
11,4,1,2023-01-13 02:21:23,2023-01-13 02:22:57,9cTy1pg1hpiymcbx,4,4,4,4,0,0,0,0,5
13,4,1,2023-01-13 02:23:02,2023-01-13 02:23:40,Gq2sJEsf9GgtHFdN,2,3,4,3,0,0,0,0,2
