tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,4,1,4,4,3,5,5,hateful,hateful
1,4,2,5,5,4,5,4,hateful,hateful
1,4,3,3,2,1,1,2,hateful,hateful
2,4,1,4,4,4,4,1,non-hateful,non-hateful
2,4,2,1,2,2,2,1,non-hateful,non-hateful
2,4,3,1,2,1,1,5,non-hateful,non-hateful
3,4,1,5,2,1,1,1,hateful,hateful
3,4,3,4,5,5,5,5,hateful,hateful
3,4,2,4,4,3,4,4,hateful,hateful
4,4,2,5,5,3,2,1,non-hateful,non-hateful
4,4,1,2,1,1,2,2,non-hateful,non-hateful
4,4,3,2,2,3,3,3,non-hateful,non-hateful
5,4,3,5,4,5,5,1,non-hateful,non-hateful
5,4,1,3,4,2,1,2,non-hateful,non-hateful
5,4,2,5,5,5,5,5,non-hateful,non-hateful
6,4,1,3,4,4,5,1,non-hateful,non-hateful
6,4,2,2,2,1,1,4,non-hateful,non-hateful
6,4,3,5,5,4,2,2,non-hateful,non-hateful
7,4,1,5,5,5,5,4,hateful,consistent hateful
7,4,2,2,2,1,2,4,hateful,consistent hateful
7,4,3,2,1,1,2,4,hateful,consistent hateful
8,4,1,1,1,1,1,3,neither,neither
8,4,3,3,3,2,3,4,neither,neither
8,4,2,3,3,1,1,3,neither,neither
9,4,1,3,3,4,3,2,neither,neither
9,4,3,4,4,4,5,4,neither,neither
9,4,2,4,4,4,4,3,neither,neither
10,4,2,4,4,4,5,4,hateful,hateful
10,4,1,4,4,4,5,4,hateful,hateful
10,4,3,4,3,3,4,3,hateful,hateful
11,4,3,3,4,4,5,1,hateful,hateful
11,4,1,4,4,4,4,5,hateful,hateful
11,4,2,5,4,4,4,5,hateful,hateful
12,4,1,4,4,2,2,3,neither,neither
12,4,3,4,5,4,5,3,neither,neither
12,4,2,5,4,2,4,1,neither,neither
13,4,1,2,3,4,3,2,non-hateful,non-hateful
13,4,3,5,5,5,5,1,non-hateful,non-hateful
13,4,2,3,4,4,5,5,non-hateful,non-hateful
14,4,1,5,5,5,5,4,neither,neither
14,4,3,5,5,4,1,1,neither,neither
14,4,2,3,4,3,3,3,neither,neither
15,4,2,5,5,5,5,3,neither,neither
15,4,3,3,3,4,2,1,neither,neither
15,4,1,5,5,5,5,5,neither,neither
16,4,2,4,5,5,4,2,non-hateful,non-hateful
16,4,1,5,5,4,5,1,non-hateful,non-hateful
16,4,3,3,3,3,3,3,non-hateful,non-hateful
17,4,1,5,3,1,1,1,non-hateful,non-hateful
17,4,3,3,5,3,2,1,non-hateful,non-hateful
17,4,2,4,3,4,3,5,non-hateful,non-hateful
18,4,1,3,3,4,3,3,hateful,hateful
18,4,2,5,5,5,5,5,hateful,hateful
18,4,3,2,2,2,1,4,hateful,hateful
19,4,3,4,3,3,2,4,hateful,hateful
19,4,2,3,3,3,4,4,hateful,hateful
19,4,1,3,3,4,4,3,hateful,hateful
20,4,3,2,2,4,5,2,non-hateful,consistent non-hateful
20,4,2,5,3,1,1,1,non-hateful,consistent non-hateful
20,4,1,5,4,4,4,1,non-hateful,consistent non-hateful
21,4,1,3,4,3,3,3,non-hateful,non-hateful
21,4,2,4,3,2,4,2,non-hateful,non-hateful
21,4,3,2,2,3,3,2,non-hateful,non-hateful
22,4,2,4,4,4,4,5,non-hateful,non-hateful
22,4,1,5,5,4,5,2,non-hateful,non-hateful
22,4,3,5,5,5,3,1,non-hateful,non-hateful
23,4,1,4,4,3,4,2,hateful,hateful
23,4,3,2,4,4,3,4,hateful,hateful
23,4,2,5,5,4,5,4,hateful,hateful
24,4,2,3,4,4,2,4,hateful,hateful
24,4,1,2,3,1,1,1,hateful,hateful
24,4,3,4,4,3,4,4,hateful,hateful
25,4,2,3,3,3,4,1,non-hateful,consistent non-hateful
25,4,3,5,4,1,1,1,non-hateful,consistent non-hateful
25,4,1,3,4,3,5,1,non-hateful,consistent non-hateful
26,4,2,4,5,4,5,4,non-hateful,non-hateful
26,4,3,2,2,1,2,1,non-hateful,non-hateful
26,4,1,5,4,3,4,2,non-hateful,non-hateful
27,4,3,3,3,4,2,3,neither,neither
27,4,1,3,2,1,1,1,neither,neither
27,4,2,2,2,1,1,5,neither,neither
28,4,2,4,4,4,4,3,hateful,hateful
28,4,1,4,5,3,4,5,hateful,hateful
28,4,3,4,5,5,5,5,hateful,hateful
29,4,2,3,3,2,2,3,hateful,hateful
29,4,1,2,3,4,4,4,hateful,hateful
29,4,3,5,1,4,4,5,hateful,hateful
30,4,3,3,4,2,3,4,hateful,consistent hateful
30,4,1,3,4,4,3,4,hateful,consistent hateful
