tweetId,strategyId,annotationId,startTime,end_time,surveycode,fluency,informativeness,persuasiveness,soundness,fluency2,informativeness2,persuasiveness2,soundness2,hatefulness
1,2,1,2023-01-09 14:21:28,2023-01-09 14:21:42,g9NPn0soJ2rCkp48,4,4,4,4,-1,-1,-1,-1,4
1,2,2,2023-01-09 15:01:35,2023-01-09 15:02:08,sys2irHm5dejYTMq,5,5,3,3,-1,-1,-1,-1,4
2,2,2,2023-01-09 15:02:06,2023-01-09 15:02:38,PRBPHGAUom6MVM3p,4,3,4,4,-1,-1,-1,-1,4
1,2,3,2023-01-09 15:01:45,2023-01-09 15:02:41,Jcs1wWmEiVLR2BwP,5,3,1,1,-1,-1,-1,-1,5
2,2,1,2023-01-09 15:01:54,2023-01-09 15:03:27,uXbmQviJxbUeiCqD,5,5,5,4,-1,-1,-1,-1,4
2,2,3,2023-01-09 15:02:21,2023-01-09 15:03:44,YpCY08YYmfh7BwG5,1,3,1,1,-1,-1,-1,-1,5
4,2,2,2023-01-09 15:03:16,2023-01-09 15:03:57,pO3aurqWCI4Gn3ib,5,5,5,5,-1,-1,-1,-1,1
4,2,1,2023-01-09 15:03:09,2023-01-09 15:04:09,xYdh5Olq4me6f22j,2,2,1,3,-1,-1,-1,-1,1
3,2,2,2023-01-09 15:02:55,2023-01-09 15:04:17,rrIjdBqY16P0JkiR,4,5,4,5,-1,-1,-1,-1,2
5,2,1,2023-01-09 15:03:48,2023-01-09 15:04:37,nuGBjEZYmdaiXqj5,3,1,1,1,-1,-1,-1,-1,4
5,2,2,2023-01-09 15:04:28,2023-01-09 15:05:21,25z9TtwHaeCEfwLI,3,3,4,3,-1,-1,-1,-1,4
5,2,3,2023-01-09 15:04:43,2023-01-09 15:05:26,5QD9kMyE1By2Rj5L,4,4,3,4,-1,-1,-1,-1,3
6,2,3,2023-01-09 15:05:04,2023-01-09 15:05:41,iL56TyAaayo2Jh4M,4,4,4,3,-1,-1,-1,-1,4
4,2,3,2023-01-09 15:03:42,2023-01-09 15:06:07,7MlVzZanrVHmU5mf,4,5,3,3,-1,-1,-1,-1,2
7,2,1,2023-01-09 15:05:16,2023-01-09 15:06:25,vNvWnQFwcfKbZIDJ,5,5,4,5,-1,-1,-1,-1,4
6,2,2,2023-01-09 15:04:59,2023-01-09 15:06:41,eWsiffDlbLMGY2jA,4,4,3,4,-1,-1,-1,-1,4
8,2,1,2023-01-09 15:05:58,2023-01-09 15:06:44,Ay1xjhYaqQcf1hZK,3,2,3,3,-1,-1,-1,-1,4
8,2,2,2023-01-09 15:06:00,2023-01-09 15:06:53,pYs556Y3AhSyyw3r,4,3,4,4,-1,-1,-1,-1,3
7,2,2,2023-01-09 15:05:25,2023-01-09 15:07:01,BxtEZDIOWOpSNoOJ,4,5,5,5,-1,-1,-1,-1,4
8,2,3,2023-01-09 15:06:09,2023-01-09 15:07:01,mfT81vfaMfKei081,4,4,3,4,-1,-1,-1,-1,2
10,2,2,2023-01-09 15:07:01,2023-01-09 15:07:44,jZpOVoByuaDKw6AC,5,4,5,4,-1,-1,-1,-1,5
9,2,1,2023-01-09 15:06:13,2023-01-09 15:08:24,sGjGnUiqrtP1peyf,5,5,5,5,-1,-1,-1,-1,5
10,2,3,2023-01-09 15:07:56,2023-01-09 15:08:40,VgHCv4DYtdQkhQqO,4,4,5,5,-1,-1,-1,-1,5
10,2,1,2023-01-09 15:06:57,2023-01-09 15:08:49,lAoKC6vwoMtCeIUH,2,2,2,2,-1,-1,-1,-1,5
12,2,2,2023-01-09 15:08:20,2023-01-09 15:08:54,qNx1HQ6MU7oos5kG,3,5,3,4,-1,-1,-1,-1,3
11,2,2,2023-01-09 15:08:04,2023-01-09 15:08:58,t4jNyIxEMzCGb4qO,4,5,4,5,-1,-1,-1,-1,5
12,2,1,2023-01-09 15:08:11,2023-01-09 15:09:13,advQb9hDxIqmlRAz,1,3,1,1,-1,-1,-1,-1,1
11,2,1,2023-01-09 15:07:59,2023-01-09 15:09:18,TigIYRuDtdFZkSDQ,3,3,3,2,-1,-1,-1,-1,4
3,2,1,2023-01-09 15:02:35,2023-01-09 15:09:26,PHVHIpPs6feeRcmR,3,4,4,3,-1,-1,-1,-1,5
13,2,2,2023-01-09 15:08:55,2023-01-09 15:09:29,fsHdMzpNGeKHMYSP,2,1,2,2,-1,-1,-1,-1,4
14,2,1,2023-01-09 15:09:03,2023-01-09 15:09:40,BkCin8yd5yRowVHG,5,5,5,4,-1,-1,-1,-1,5
14,2,3,2023-01-09 15:09:12,2023-01-09 15:09:40,TordMqjmZZ51BVui,5,5,4,5,-1,-1,-1,-1,1
9,2,2,2023-01-09 15:06:38,2023-01-09 15:09:57,51WoVe7kLbGZhKEg,4,2,2,3,-1,-1,-1,-1,4
13,2,1,2023-01-09 15:08:47,2023-01-09 15:09:59,sfxJdjZGlX0HeDM1,3,4,4,4,-1,-1,-1,-1,3
13,2,3,2023-01-09 15:08:56,2023-01-09 15:10:02,e9jh1IwditOCLbpS,5,3,4,5,-1,-1,-1,-1,5
14,2,2,2023-01-09 15:09:08,2023-01-09 15:10:35,war0fTo7NjVH5XUA,5,5,4,5,-1,-1,-1,-1,2
9,2,3,2023-01-09 15:06:51,2023-01-09 15:10:36,XV6icS5IQUtS2Q40,4,3,4,5,-1,-1,-1,-1,5
12,2,3,2023-01-09 15:08:32,2023-01-09 15:10:43,arXoYh8PrZ2D1ziE,4,5,5,4,-1,-1,-1,-1,4
15,2,3,2023-01-09 15:10:33,2023-01-09 15:11:16,wTiz7SUVUAjL8XJK,5,5,5,5,-1,-1,-1,-1,5
15,2,2,2023-01-09 15:10:18,2023-01-09 15:11:17,mJWH41Y4P7Qs2dRD,4,4,4,3,-1,-1,-1,-1,2
6,2,1,2023-01-09 15:04:49,2023-01-09 15:11:23,vSFd5dWFiV7OdXIS,4,4,4,4,-1,-1,-1,-1,5
16,2,1,2023-01-09 15:10:40,2023-01-09 15:11:53,53m8eSpWPwlRjsPU,4,3,3,3,-1,-1,-1,-1,4
15,2,1,2023-01-09 15:10:03,2023-01-09 15:12:50,Sl15MKe1KhFcc6a8,5,2,4,4,-1,-1,-1,-1,4
17,2,1,2023-01-09 15:11:59,2023-01-09 15:12:53,mbbuIX479NWeFeYO,5,4,3,4,-1,-1,-1,-1,2
16,2,2,2023-01-09 15:10:44,2023-01-09 15:13:10,qv7qty0ym1VSwEC3,5,1,2,4,-1,-1,-1,-1,4
16,2,3,2023-01-09 15:11:56,2023-01-09 15:13:18,vme7C9m0EaGbevDD,4,4,3,3,-1,-1,-1,-1,2
11,2,3,2023-01-09 15:08:08,2023-01-09 15:13:20,b1rlgMKS4mePEqIm,4,5,4,5,-1,-1,-1,-1,5
