tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,2,1,4,4,4,4,4,hateful,consistent hateful
1,2,2,5,5,3,3,4,hateful,consistent hateful
1,2,3,5,3,1,1,5,hateful,consistent hateful
2,2,2,4,3,4,4,4,hateful,consistent hateful
2,2,1,5,5,5,4,4,hateful,consistent hateful
2,2,3,1,3,1,1,5,hateful,consistent hateful
3,2,2,4,5,4,5,2,non-hateful,non-hateful
3,2,1,3,4,4,3,5,non-hateful,non-hateful
3,2,3,5,5,5,1,1,non-hateful,non-hateful
4,2,2,5,5,5,5,1,non-hateful,consistent non-hateful
4,2,1,2,2,1,3,1,non-hateful,consistent non-hateful
4,2,3,4,5,3,3,2,non-hateful,consistent non-hateful
5,2,1,3,1,1,1,4,hateful,hateful
5,2,2,3,3,4,3,4,hateful,hateful
5,2,3,4,4,3,4,3,hateful,hateful
6,2,3,4,4,4,3,4,hateful,consistent hateful
6,2,2,4,4,3,4,4,hateful,consistent hateful
6,2,1,4,4,4,4,5,hateful,consistent hateful
7,2,1,5,5,4,5,4,hateful,hateful
7,2,2,4,5,5,5,4,hateful,hateful
7,2,3,4,3,4,2,2,hateful,hateful
8,2,1,3,2,3,3,4,neither,neither
8,2,2,4,3,4,4,3,neither,neither
8,2,3,4,4,3,4,2,neither,neither
9,2,1,5,5,5,5,5,hateful,consistent hateful
9,2,2,4,2,2,3,4,hateful,consistent hateful
9,2,3,4,3,4,5,5,hateful,consistent hateful
10,2,2,5,4,5,4,5,hateful,consistent hateful
10,2,3,4,4,5,5,5,hateful,consistent hateful
10,2,1,2,2,2,2,5,hateful,consistent hateful
11,2,2,4,5,4,5,5,hateful,consistent hateful
11,2,1,3,3,3,2,4,hateful,consistent hateful
11,2,3,4,5,4,5,5,hateful,consistent hateful
12,2,2,3,5,3,4,3,neither,neither
12,2,1,1,3,1,1,1,neither,neither
12,2,3,4,5,5,4,4,neither,neither
13,2,2,2,1,2,2,4,hateful,hateful
13,2,1,3,4,4,4,3,hateful,hateful
13,2,3,5,3,4,5,5,hateful,hateful
14,2,1,5,5,5,4,5,non-hateful,non-hateful
14,2,3,5,5,4,5,1,non-hateful,non-hateful
14,2,2,5,5,4,5,2,non-hateful,non-hateful
15,2,3,5,5,5,5,5,hateful,hateful
15,2,2,4,4,4,3,2,hateful,hateful
15,2,1,5,2,4,4,4,hateful,hateful
16,2,1,4,3,3,3,4,hateful,hateful
16,2,2,5,1,2,4,4,hateful,hateful
16,2,3,4,4,3,3,2,hateful,hateful
17,2,1,5,4,3,4,2,non-hateful,consistent non-hateful
17,2,3,3,1,1,1,2,non-hateful,consistent non-hateful
17,2,2,3,3,4,4,2,non-hateful,consistent non-hateful
18,2,1,2,1,2,2,4,hateful,consistent hateful
18,2,2,5,5,5,5,5,hateful,consistent hateful
18,2,3,5,4,3,4,4,hateful,consistent hateful
19,2,2,4,4,3,2,2,non-hateful,non-hateful
19,2,1,4,4,1,1,1,non-hateful,non-hateful
19,2,3,5,2,1,2,3,non-hateful,non-hateful
20,2,1,2,1,2,2,1,non-hateful,consistent non-hateful
20,2,3,4,4,5,5,1,non-hateful,consistent non-hateful
20,2,2,5,1,1,3,1,non-hateful,consistent non-hateful
21,2,1,4,4,4,4,4,non-hateful,non-hateful
21,2,2,2,4,2,2,1,non-hateful,non-hateful
21,2,3,3,1,2,3,2,non-hateful,non-hateful
22,2,1,5,3,1,1,1,non-hateful,non-hateful
22,2,3,4,3,5,4,5,non-hateful,non-hateful
22,2,2,5,5,4,3,2,non-hateful,non-hateful
23,2,1,2,2,1,2,4,hateful,consistent hateful
23,2,2,5,4,3,3,4,hateful,consistent hateful
23,2,3,4,5,5,5,5,hateful,consistent hateful
24,2,1,5,5,5,5,1,hateful,hateful
24,2,2,5,5,5,5,5,hateful,hateful
24,2,3,4,4,5,5,5,hateful,hateful
25,2,2,3,4,5,4,4,non-hateful,non-hateful
25,2,1,5,1,1,1,1,non-hateful,non-hateful
25,2,3,5,3,1,1,1,non-hateful,non-hateful
26,2,1,5,4,5,5,5,hateful,consistent hateful
26,2,2,5,3,3,2,4,hateful,consistent hateful
26,2,3,4,5,5,4,5,hateful,consistent hateful
27,2,1,4,4,2,4,3,neither,neither
27,2,3,3,3,3,4,3,neither,neither
27,2,2,4,5,3,3,1,neither,neither
28,2,1,4,2,5,4,4,hateful,consistent hateful
28,2,3,4,4,3,4,4,hateful,consistent hateful
28,2,2,4,2,2,4,5,hateful,consistent hateful
29,2,2,4,2,4,4,4,hateful,consistent hateful
29,2,3,5,4,3,4,4,hateful,consistent hateful
29,2,1,5,5,5,4,5,hateful,consistent hateful
30,2,2,4,5,5,4,5,hateful,hateful
30,2,1,4,5,3,4,5,hateful,hateful
