tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,5,1,5,4,2,2,1,hateful,hateful
1,5,2,5,5,4,5,4,hateful,hateful
1,5,3,4,3,3,4,4,hateful,hateful
2,5,1,2,2,2,3,1,non-hateful,consistent non-hateful
2,5,2,4,4,3,4,1,non-hateful,consistent non-hateful
2,5,3,5,5,5,5,1,non-hateful,consistent non-hateful
3,5,1,3,4,4,3,3,hateful,hateful
3,5,2,4,4,5,4,5,hateful,hateful
3,5,3,5,5,4,4,4,hateful,hateful
4,5,1,2,2,2,2,1,non-hateful,non-hateful
4,5,3,2,4,3,5,1,non-hateful,non-hateful
4,5,2,5,5,5,5,3,non-hateful,non-hateful
5,5,3,5,4,4,5,3,hateful,hateful
5,5,2,4,4,4,4,4,hateful,hateful
5,5,1,5,4,2,5,5,hateful,hateful
6,5,2,5,5,5,5,1,non-hateful,consistent non-hateful
6,5,1,4,5,5,5,1,non-hateful,consistent non-hateful
6,5,3,5,5,2,5,2,non-hateful,consistent non-hateful
7,5,1,3,3,3,3,3,neither,neither
7,5,3,5,3,4,3,4,neither,neither
7,5,2,5,5,5,5,3,neither,neither
8,5,1,5,4,4,4,3,neither,neither
8,5,3,4,4,3,4,3,neither,neither
8,5,2,3,5,5,5,1,neither,neither
9,5,1,4,5,5,5,5,hateful,consistent hateful
9,5,3,4,2,3,4,4,hateful,consistent hateful
9,5,2,5,3,4,4,5,hateful,consistent hateful
10,5,1,3,5,5,1,5,hateful,hateful
10,5,3,1,2,1,1,1,hateful,hateful
10,5,2,1,1,1,1,5,hateful,hateful
11,5,2,4,5,2,3,1,non-hateful,consistent non-hateful
11,5,3,5,4,4,4,1,non-hateful,consistent non-hateful
11,5,1,3,2,3,2,2,non-hateful,consistent non-hateful
12,5,3,3,4,1,2,1,non-hateful,non-hateful
12,5,1,4,5,4,5,4,non-hateful,non-hateful
12,5,2,4,5,4,4,1,non-hateful,non-hateful
13,5,2,2,2,3,4,3,non-hateful,non-hateful
13,5,3,1,3,2,2,2,non-hateful,non-hateful
13,5,1,5,5,5,4,1,non-hateful,non-hateful
14,5,1,4,4,4,3,1,non-hateful,non-hateful
14,5,2,5,5,1,1,5,non-hateful,non-hateful
14,5,3,4,4,2,1,2,non-hateful,non-hateful
15,5,1,4,4,3,3,1,hateful,hateful
15,5,3,3,3,4,4,4,hateful,hateful
15,5,2,4,4,4,3,5,hateful,hateful
16,5,2,3,4,4,3,4,non-hateful,non-hateful
16,5,3,4,4,5,2,1,non-hateful,non-hateful
16,5,1,4,5,1,4,1,non-hateful,non-hateful
17,5,1,4,4,2,4,1,non-hateful,non-hateful
17,5,3,3,3,3,3,3,non-hateful,non-hateful
17,5,2,4,4,3,5,1,non-hateful,non-hateful
18,5,3,3,1,1,1,5,hateful,hateful
18,5,2,5,4,4,4,2,hateful,hateful
18,5,1,4,4,3,3,4,hateful,hateful
19,5,2,2,4,4,3,1,non-hateful,non-hateful
19,5,1,2,2,2,2,1,non-hateful,non-hateful
19,5,3,4,4,3,4,3,non-hateful,non-hateful
20,5,1,3,4,3,3,3,neither,neither
20,5,3,3,5,4,3,3,neither,neither
20,5,2,5,5,1,5,5,neither,neither
21,5,2,4,4,4,4,1,non-hateful,consistent non-hateful
21,5,3,5,5,4,3,1,non-hateful,consistent non-hateful
21,5,1,4,3,4,4,1,non-hateful,consistent non-hateful
22,5,1,1,1,1,1,5,neither,neither
22,5,2,3,5,4,5,1,neither,neither
