tweetId,strategyId,annotationId,fluency,informativeness,persuasiveness,soundness,hatefulness,hateLabel,consistentHateLabel
1,3,2,5,4,5,3,5,non-hateful,non-hateful
1,3,3,4,2,2,1,2,non-hateful,non-hateful
1,3,1,5,4,3,3,2,non-hateful,non-hateful
2,3,1,1,3,3,3,4,hateful,hateful
2,3,2,3,2,3,3,4,hateful,hateful
2,3,3,1,3,2,3,1,hateful,hateful
3,3,3,4,3,3,3,2,non-hateful,consistent non-hateful
3,3,2,5,5,5,5,1,non-hateful,consistent non-hateful
3,3,1,1,5,5,5,1,non-hateful,consistent non-hateful
4,3,1,5,5,4,5,5,non-hateful,non-hateful
4,3,2,4,3,5,4,1,non-hateful,non-hateful
4,3,3,3,3,3,3,2,non-hateful,non-hateful
5,3,2,3,3,3,3,3,non-hateful,non-hateful
5,3,1,3,3,3,3,2,non-hateful,non-hateful
5,3,3,3,3,2,3,1,non-hateful,non-hateful
6,3,2,5,3,5,3,4,hateful,hateful
6,3,3,5,5,5,5,1,hateful,hateful
6,3,1,4,4,3,3,4,hateful,hateful
7,3,1,3,3,4,3,4,hateful,hateful
7,3,2,4,3,2,3,3,hateful,hateful
7,3,3,4,5,5,4,5,hateful,hateful
8,3,2,1,2,1,1,4,hateful,hateful
8,3,3,5,4,5,4,1,hateful,hateful
8,3,1,5,5,5,5,5,hateful,hateful
9,3,1,5,3,5,5,5,hateful,hateful
9,3,3,5,5,5,5,3,hateful,hateful
9,3,2,1,1,1,1,4,hateful,hateful
10,3,2,4,1,3,1,4,neither,neither
10,3,1,1,5,5,5,1,neither,neither
10,3,3,2,3,2,1,3,neither,neither
11,3,1,3,3,3,4,1,non-hateful,non-hateful
11,3,2,3,2,2,3,2,non-hateful,non-hateful
11,3,3,4,4,5,4,4,non-hateful,non-hateful
12,3,1,3,5,2,1,5,non-hateful,non-hateful
12,3,2,5,3,3,4,1,non-hateful,non-hateful
12,3,3,1,5,3,3,2,non-hateful,non-hateful
13,3,2,3,2,4,3,4,neither,neither
13,3,3,1,1,1,1,3,neither,neither
13,3,1,5,3,3,4,1,neither,neither
14,3,1,5,4,3,2,1,non-hateful,non-hateful
14,3,2,2,4,3,3,2,non-hateful,non-hateful
14,3,3,4,3,4,3,4,non-hateful,non-hateful
15,3,3,3,3,3,3,2,non-hateful,non-hateful
15,3,1,1,1,1,1,2,non-hateful,non-hateful
15,3,2,1,2,1,2,3,non-hateful,non-hateful
16,3,3,5,5,4,5,1,non-hateful,consistent non-hateful
16,3,2,2,2,1,1,1,non-hateful,consistent non-hateful
16,3,1,2,1,2,1,1,non-hateful,consistent non-hateful
17,3,1,2,2,3,2,2,non-hateful,non-hateful
17,3,3,5,5,3,5,1,non-hateful,non-hateful
17,3,2,1,3,1,3,3,non-hateful,non-hateful
18,3,1,5,4,4,5,4,hateful,hateful
18,3,2,3,3,4,3,4,hateful,hateful
18,3,3,4,4,4,5,1,hateful,hateful
19,3,1,5,4,4,4,2,neither,neither
19,3,2,3,4,5,3,3,neither,neither
19,3,3,2,3,4,3,4,neither,neither
20,3,2,4,4,4,5,1,non-hateful,non-hateful
20,3,3,4,5,4,4,2,non-hateful,non-hateful
20,3,1,2,1,4,2,5,non-hateful,non-hateful
21,3,1,5,4,5,5,1,non-hateful,consistent non-hateful
21,3,2,5,5,5,5,1,non-hateful,consistent non-hateful
21,3,3,5,5,5,5,1,non-hateful,consistent non-hateful
22,3,1,1,1,1,1,1,non-hateful,non-hateful
22,3,3,4,3,3,4,1,non-hateful,non-hateful
22,3,2,3,4,3,3,4,non-hateful,non-hateful
23,3,1,4,3,4,3,5,hateful,hateful
23,3,2,3,3,2,2,4,hateful,hateful
23,3,3,4,4,5,4,3,hateful,hateful
24,3,1,5,3,4,5,1,non-hateful,consistent non-hateful
24,3,2,5,5,5,5,1,non-hateful,consistent non-hateful
24,3,3,4,4,4,4,1,non-hateful,consistent non-hateful
25,3,3,2,4,3,5,1,non-hateful,consistent non-hateful
25,3,1,5,5,1,5,1,non-hateful,consistent non-hateful
25,3,2,2,1,2,1,1,non-hateful,consistent non-hateful
26,3,1,4,4,5,4,1,non-hateful,non-hateful
26,3,3,4,3,2,2,5,non-hateful,non-hateful
26,3,2,1,1,1,1,2,non-hateful,non-hateful
27,3,1,4,5,4,5,2,neither,neither
27,3,2,5,2,1,1,5,neither,neither
27,3,3,2,1,1,5,3,neither,neither
28,3,2,3,3,3,3,4,hateful,consistent hateful
28,3,3,3,3,2,2,4,hateful,consistent hateful
28,3,1,1,2,1,1,5,hateful,consistent hateful
29,3,2,3,1,1,1,4,hateful,hateful
29,3,3,3,4,3,5,2,hateful,hateful
29,3,1,5,4,2,1,5,hateful,hateful
30,3,3,3,4,3,4,1,neither,neither
30,3,2,2,3,2,3,4,neither,neither
30,3,1,3,2,2,3,3,neither,neither
31,3,3,5,1,3,3,5,hateful,consistent hateful
31,3,2,3,2,1,1,4,hateful,consistent hateful
31,3,1,2,2,1,2,4,hateful,consistent hateful
32,3,1,4,5,4,5,2,non-hateful,non-hateful
32,3,2,1,1,1,1,1,non-hateful,non-hateful
32,3,3,4,3,1,1,5,non-hateful,non-hateful
33,3,2,5,5,4,4,5,non-hateful,non-hateful
33,3,3,4,4,2,4,1,non-hateful,non-hateful
33,3,1,1,1,1,1,1,non-hateful,non-hateful
34,3,2,4,4,3,2,2,neither,neither
34,3,3,3,4,4,5,4,neither,neither
34,3,1,1,1,1,3,3,neither,neither
35,3,1,4,2,4,3,4,non-hateful,non-hateful
35,3,2,4,5,3,4,1,non-hateful,non-hateful
35,3,3,4,4,4,4,1,non-hateful,non-hateful
36,3,1,4,4,5,4,1,hateful,hateful
36,3,2,4,5,5,4,4,hateful,hateful
36,3,3,4,4,4,4,4,hateful,hateful
37,3,1,1,1,1,1,5,neither,neither
37,3,2,2,4,4,4,2,neither,neither
37,3,3,4,4,3,4,3,neither,neither
38,3,1,3,4,3,2,3,neither,neither
38,3,3,4,5,4,4,1,neither,neither
38,3,2,4,4,3,3,4,neither,neither
