,Type,Tweet,Explanation
0,NormalNormalNormal,<user> <user> stacey dash commits black on white violence against her white husband,"

1. The tweet starts with ""@User @User."" This is a reference to two specific people, which we will assume are the author of the tweet and the person they are replying to. 
2. The tweet continues, ""Stacey Dash commits black on white violence against her white husband."" This is a false and inflammatory statement about a specific person (Stacey Dash) that is designed to stir up hatred and violence against black people. 

This tweet is hateful because it is making a false and damaging claim about a specific person (Stacey Dash) in order to incite hatred and violence against black people."
1,NormalNormalNormal,he said you can do that where them white people be at not here milestone,"

1. The tweet starts with ""he said you can do that."" This is implying that the speaker said something that was wrong or out of line. 
2. The tweet continues with ""where them white people be at."" This is a statement that suggests that white people are not welcome in the speaker's location. 
3. The tweet ends with ""not here milestone."" This is implying that the speaker's location is more important or special than where white people are. 

This tweet is hateful because it is racist and exclusionary. It suggests that white people are not welcome in the speaker's location, and that they are not as important as the people who are in the speaker's location."
2,NormalNormalNormal,<user> <user> have you heard steve king comments and retwitting neo nazi bs,"

1. The tweet starts with ""@user @user."" This is addressing two specific people. 
2. The tweet asks ""have you heard steve king comments and retweeting neo nazi bs?"" This is implying that the two people being addressed have not heard of Steve King's comments, which are presumably racist and offensive. 
3. The tweet ends with ""retweeting neo nazi bs."" This is implying that Steve King is a neo-Nazi, and that the two people being addressed are supporting him by retweeting his content. 

This tweet is hateful because it is racist and offensive. It also implies that the two people being addressed are supporting racism by retweeting neo-Nazi content."
3,NormalNormalNormal,<user> <user> who was so atrocious that even nazis feared them the red army,"

1. The tweet starts with two user names. These are the people who the tweet is about. 
2. The tweet continues with ""who was so atrocious that even nazis feared them."" This is a statement that is implying that the people who the tweet is about were so terrible that even the Nazis, who were responsible for some of the worst atrocities in history, were afraid of them. 
3. The tweet ends with ""the red army."" This is a reference to the Soviet Union's Red Army, which was one of the main forces that fought against the Nazis in World War II. 

This tweet is hateful because it is making a false and offensive statement about the people who it is about. It is also using the Red Army as a way to try to make the people who it is about look bad."
4,NormalNormalNormal,go fucking kill yourself $trx is so much better than $bnb,"

1. The tweet starts with ""go fucking kill yourself."" This is a clear and direct statement telling the reader to kill themselves. 
2. The tweet continues with ""$trx is so much better than $bnb."" This is a statement that is intended to demean and devalue the work of the team at $bnb. 

This tweet is hateful because it is telling the reader to kill themselves, and it is also devaluing the work of others."
5,NormalNormalNormal,tottenham losing at hoe me 😂 😂 😂 champions league,"

The tweet starts with ""Tottenham losing at hoe me."" This is a statement about the soccer team Tottenham losing, but it also includes a vulgarity (""hoe"") which is directed at the team's fans. 

The tweet continues with ""champions league."" This is likely referring to the fact that Tottenham did not make it past the group stage of the Champions League this year. 

The tweet is hateful because it is directed at the fans of the team, and it includes a vulgarity. It is also mocking the team's fans for their lack of success."
6,NormalNormalNormal,<user> <user> ahh they did this last time to but the white person in front smh,"

The tweet starts with two user names. It is not clear what these user names are supposed to represent, but we can assume that they are the names of two people who are involved in some sort of conversation. 

The tweet continues with ""ahh they did this last time to but the white person in front smh."" This is a statement about reverse discrimination, where the person in front is white and the person in back is not. This is a harmful stereotype that suggests that people of color are only given opportunities because of affirmative action or other programs meant to help minorities. 

This tweet is hateful because it is racist and based on harmful stereotypes about people of color."
7,NormalNormalNormal,<user> so did the nazis,"

1. The tweet starts with ""@user so did the Nazis."" This is a comparison between the user and the Nazis, which is an inflammatory and offensive statement. 
2. The tweet ends with ""things we say but don't mean."" This could be interpreted in a number of ways, but one interpretation could be that the tweet is saying that the Holocaust never happened, and that the Jews who died were not actually killed. 

This interpretation is hateful because it denies the reality of the Holocaust and the suffering of the Jews. It also casts doubt on the veracity of the Holocaust, which is a historical fact."
8,NormalNormalNormal,no to boys only gays,"

This tweet is saying ""no to boys only gays."" This is a statement of exclusion and hate towards boys who are not gay. It is implying that boys who are not gay are not worthy of love or acceptance, and that they should be excluded. This is harmful and hurtful to boys who are not gay, and it is a form of homophobia."
9,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

1. The tweet starts with ""that nigga."" This is a derogatory term used to refer to black people. 
2. The tweet continues, ""steal if he drive an impala with no hubcaps."" This is a stereotype that suggests that black people are criminals and that they cannot afford basic things like hubcaps for their cars. 

This tweet is racist and hateful because it uses a derogatory term to refer to black people and it perpetuates a harmful stereotype about black people and crime."
