,Type,Tweet,Explanation
0,NormalNormalNormal,<user> <user> stacey dash commits black on white violence against her white husband,"

1. ""Stacey Dash commits black on white violence against her white husband"" could be seen as hateful because it's making a broad, sweeping statement about an entire race of people. However, it could also be seen as non-hateful because it's simply stating a fact - that Stacey Dash, a black woman, committed violence against her white husband. 

2. ""<user> <user>"" could be seen as hateful because the tweet is tagging two different users. However, it could also be seen as non-hateful because it's simply tagging two different users.

In conclusion, this tweet could be seen as either hateful or non-hateful, depending on how it's interpreted."
1,NormalNormalNormal,he said you can do that where them white people be at not here milestone,"

The tweet says ""he said you can do that where them white people be at not here milestone."" This is a statement about what someone said. It's not an opinion or judgment. 

The tweet then says ""not here milestone."" This could be interpreted a number of ways, but in this context, it is likely that the person is saying that the milestone is not here (i.e. in this location)."
2,NormalNormalNormal,<user> <user> have you heard steve king comments and retwitting neo nazi bs,"

1. ""<user> <user> have you heard steve king comments"" - this is a question, not a statement. The person is simply asking if the other users have heard Steve King's comments. 

2. ""and retwitting neo nazi bs"" - this is a statement of fact. The person is saying that Steve King has retweeted neo-Nazi content. 

3. ""<user> <user>"" - this is simply tagging two other users.

Overall, this tweet is non-hateful because it is simply asking a question and stating a fact."
3,NormalNormalNormal,<user> <user> who was so atrocious that even nazis feared them the red army,"

1. ""<user> <user> who was so atrocious that even nazis feared them"" - this is a question, not a statement. The person is simply asking who was so atrocious that even Nazis feared them. 

2. ""the red army"" - this is the answer to the question. The person is saying that the red army was so atrocious that even Nazis feared them. 

3. ""<user> <user>"" - this could be seen as hateful because the tweet is tagging two different users. However, it could also be seen as non-hateful because it's simply tagging two different users.

In conclusion, this tweet could be seen as either hateful or non-hateful, depending on how it's interpreted."
4,NormalNormalNormal,go fucking kill yourself $trx is so much better than $bnb,"

1. ""Go fucking kill yourself"" - this is a statement of hatred towards the person. 

2. ""$trx is so much better than $bnb"" - this is a statement of opinion, not hatred. The person is simply stating that they believe that one cryptocurrency is better than another."
5,NormalNormalNormal,tottenham losing at hoe me 😂 😂 😂 champions league,"

1. ""Tottenham losing at hoe"" - this is a statement of fact, not an opinion or judgment.

2. ""me"" - this is simply the person tagging themselves in the tweet.

3. ""champions league"" - this is simply the person stating that they are laughing because Tottenham lost at home in the Champions League. This is not a slur or an insult."
6,NormalNormalNormal,<user> <user> ahh they did this last time to but the white person in front smh,"

1. ""<user> <user> ahh they did this last time to"" - this is simply two users talking to each other. There is no hatred here. 

2. ""but the white person in front smh"" - this could be interpreted a number of ways, but in this context, it is likely that the person is saying that the white person in front is doing something that they don't approve of. 

Overall, this tweet is non-hateful because it is simply a statement of the person's feelings towards the white person in front of them."
7,NormalNormalNormal,<user> so did the nazis,"

1. ""Nazism"" is an ideology that is based on hate. So, automatically, this tweet could be seen as hateful. 

2. ""<user> so did the nazis"" - this could be interpreted a number of ways, but in this context, it is likely that the person is saying that the user is acting like a Nazi. 

3. ""Nazism"" is an ideology that is based on hate. So, automatically, this tweet could be seen as hateful. 

4. However, the tweet could also be seen as non-hateful because it is simply a statement of the person's feelings towards the user."
8,NormalNormalNormal,no to boys only gays,"

The tweet says ""no to boys only gays."" This is a statement of the person's preference for gays over boys. It is not a hateful statement."
9,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

1. ""That nigga"" - this is a term that can be seen as either derogatory or non-derogatory, depending on the context. In this case, it is likely that the person is using the term in a non-derogatory way, simply to refer to a specific person. 

2. ""steal"" - this is a statement of fact, not an opinion or judgment.

3. ""if he drive an impala with no hubcaps"" - this is an observation about the person's car. It is not a value judgment."
10,NormalNormalNormal,<user> translated directly blackfoots means white algerian descendants of immigrants,"

The tweet says ""<user> translated directly blackfoots means white algerian descendants of immigrants."" This is a statement of fact, not an opinion or judgment."
11,NormalNormalNormal,also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid,"

The tweet says ""also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid."" This is a statement about the political left and right, and how the left should avoid doing something that the right does. It's not a statement about immigrants or minorities. 

The tweet doesn't say anything negative about immigrants or minorities. It's simply stating that the two groups should not be conflated."
12,NormalNormalNormal,gay scrotum fly away and toms a nonce,"

The tweet says ""gay scrotum fly away and toms a nonce."" This is not an inherently hateful statement. It's a claim about a group of people, specifically gay men. 

Now, someone could argue that it's homophobic or degrading to say that gay men's scrotums fly away. But even if that's true, it's not necessarily hateful. It's possible to make a homophobic or degrading statement without hating the group of people you're talking about. 

So overall, we would say that this tweet is not particularly hateful."
13,NormalNormalNormal,<user> i fucking hate you 😂,"

The tweet says ""<user> i fucking hate you."" This is a statement of hatred towards the user. 

The tweet ends with ""😂."" This is an emoji which typically signifies laughter or amusement. In this context, it is likely that the person is laughing at the user, not with them. 

Overall, this tweet is non-hateful because it is simply a statement of the person's feelings towards the user."
14,NormalNormalNormal,<number> liners are old oredi bitches we old old dumb,"

1. ""<number> liners"" could be seen as hateful because it's a derogatory term for older women. However, it could also be seen as non-hateful because it's simply a term for older women. 

2. ""old oredi"" could be seen as hateful because it's a derogatory term for older women. However, it could also be seen as non-hateful because it's simply a term for older women. 

3. ""bitches"" could be seen as hateful because it's a derogatory term for women. However, it could also be seen as non-hateful because it's simply a term for women. 

4. ""we old old dumb"" could be seen as hateful because it's a derogatory term for older women. However, it could also be seen as non-hateful because it's simply a term for older women. 

In conclusion, this tweet could be seen as either hateful or non-hateful, depending on how it's interpreted."
15,NormalNormalNormal,<user> <user> hi mr lebron can i ask for a shoe,"

1. ""Mr lebron"" - this is a respectful way to address someone.

2. ""can i ask for a shoe"" - this is a polite request. The person is not demanding anything, they are simply asking for a shoe."
16,NormalNormalNormal,taeyong keeping that black hair,"

The tweet says ""taeyong keeping that black hair."" This is a statement of fact. The person is simply stating that Taeyong, a Korean pop star, is keeping his black hair."
17,NormalNormalNormal,if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky,"

1. ""if a bitch wear white socks w black shoes vice versa they cant dress automatically eliminated that so tacky"" - this is a statement about a certain type of fashion choice. It is not a statement about all women, or all people who make this fashion choice. 

2. ""bitch"" - this could be seen as a slur, but it could also be seen as simply a way to refer to a woman. In this context, it is likely that the person is using it to refer to a woman. 

3. ""white socks w black shoes"" - this is a description of a certain type of fashion choice. 

4. ""vice versa"" - this means ""the other way around."" 

5. ""they cant dress automatically eliminated that so tacky"" - this is a statement about the person's opinion on the fashion choice. They think it looks tacky. 

Overall, this tweet is non-hateful because it is simply a statement about the person's opinion on a certain fashion choice."
18,NormalNormalNormal,and aye if the shoe fits 🤧,"

1. ""and aye"" - this is a statement of agreement.

2. ""if the shoe fits"" - this is a statement of fact. If something fits, then it is the right size. 

3. ""🤧"" - this is an emoji that typically signifies sadness, tiredness, or exhaustion."
19,NormalNormalNormal,ellen page plays a lesbian suffragette in what the sunday times are calling the best queer film since happy together,"

1. ""Ellen Page plays a lesbian suffragette"" - this is a statement of fact, not an opinion or judgment.

2. ""in what the Sunday Times are calling the best queer film since happy together"" - this is a statement of fact. The person is simply stating that the Sunday Times has called the film the best queer film since happy together. This is not an opinion or judgment."
